keyword,ranking,date_channel_create(UTC),channel_country,channel_all_video_upload_playlist_id,channel_url,channel_owner_url,channel_description,channel_custom_id,channel_tag,is_channel_Family_safe,is_channel_hiden_sub,channel_topic,channel_view_count,channel_video_count,channel_subs_count
vtuber,20,2021-06-04 04:45:26.533232+00:00,BR,UU7WOUQJ3hwdcocHvyaYMvsQ,https://www.youtube.com/channel/UC7WOUQJ3hwdcocHvyaYMvsQ,http://www.youtube.com/@kinoko_vtuber,"Kinoshita Kinoko - 木下希乃子
 
🍄 Vtuber Gnoma vivendo em uma cabana na floresta! 

🍀Karaoke & Music, Cute & Nostalgic Games, Cottage Core, Baking, Drawing, Crafts! ✨
______________________________________________

#cottagecorevtuber #vtuber #ENVtuber
",@kinoko_vtuber,"vtuber,vtuber brasileira,anime,vtuber br,kinoko,kinoko vtuber,kinoko kinoshita,vtuber brasil,cozy gamer,jogos fofos,conteúdo aconchegante,aesthetic,cottagecore,conteúdo fofo,live tranquila,live aconchegante,live de boa,live para relaxar,vídeos contra ansiedade,gnoma,gnomos,magia,kawaii,conteúdo fofo,conteúdo curativo,conteúdo para desestressar",True,False,"Role-playing_video_game,Action_game,Video_game_culture,Action-adventure_game",87909,93,3560
vtuber,21,2022-02-01 06:05:23.943960+00:00,JP,UUS--FgGhLsu-C7iPHC1928A,https://www.youtube.com/channel/UCS--FgGhLsu-C7iPHC1928A,http://www.youtube.com/@VTuber-bh4co,"「ななしのまけなし」とは：
ななしいんくの人気VTuber因幡はねるが出演する麻雀とボートレースの
ミックスルールの新感覚バラエティ番組！今回は番組初登場の多井隆晴をはじめ松本吉弘、VTuberの千羽黒乃、渋川難波の豪華ゲストが日替わりで登場して、熱いバトルを繰り広げます！お見逃しなく！
※本企画は、金銭や財産上の利益を賭けるものではなく、賭博に該当する行為を番組内で行うものではありません。

生配信日程：
①9月15日（金）14時開始予定
対象レース：GIII 日本モーターボート選手会会長賞 マスターズ第５戦
出演者：
因幡はねる /  @Inaba_Haneru  
渋川難波 / @sibukawa   

②9月16日（土）14時開始予定
対象レース：GIII 日本モーターボート選手会会長賞 マスターズ第５戦
出演者：
因幡はねる / @Inaba_Haneru  
松本吉弘 / @Matsumotogumi  
③9月17日（日）14時開始予定
対象レース：GIII 日本モーターボート選手会会長賞 マスターズ第５戦
出演者：
因幡はねる / @Inaba_Haneru  
多井隆晴 / @takachan0317 
④9月18日（月・祝）14時開始予定
対象レース：GIII 日本モーターボート選手会会長賞 マスターズ第５戦
出演者：
因幡はねる /  @Inaba_Haneru    
千羽黒乃 /  @senba_crow    
エドセポネ / @NEW_WAVE 

▼ボートレースびわこ 公式メインチャンネル
https://www.youtube.com/channel/UCLbcsJqsT5Qa1axpYcOBpmg

▼ボートレースびわこ 公式HP
https://www.boatrace-biwako.jp/

▼ボートレースびわこ 公式Twitter
https://twitter.com/br_biwako
",@vtuber-bh4co,"ボートレースびわこ,VTuber,ボートレース,競艇,びわこ,にじさんじ,エデン組,にげさし",True,False,"Entertainment,Video_game_culture",2504250,137,14900
vtuber,22,2021-12-13 11:34:50.910382+00:00,,UUqcMC9ilIVNgjYrxkvXCrKw,https://www.youtube.com/channel/UCqcMC9ilIVNgjYrxkvXCrKw,http://www.youtube.com/@-aihachannelvtuber7316,"こんにちは！バーチャルYouTuber（Vtuber）の藍覇(あいは）といいます。
APEX LEGENDSや雑談配信をメインに活動していきます。そのほかにも色々なゲームをしていきますのでたくさん楽しんでいってください❕

",@-aihachannelvtuber7316,,True,False,"Role-playing_video_game,Video_game_culture,Action_game",1428905,662,8750
vtuber,23,2017-02-24 12:09:36+00:00,JP,UUzsYA3BlYrFPoBx2s33lPAw,https://www.youtube.com/channel/UCzsYA3BlYrFPoBx2s33lPAw,http://www.youtube.com/@VA-Akagami,"私はVirtual Agent、コードネーム『アカガミ』です。個人勢Vtuber。
ゲーム、声優、歌、MC、イベント、企業案件等々。

依頼があればどんな任務でも遂行する。
それが───エージェントだ。


#新人Vtuber　#Vtuber　#男性Vtuber

▼Twitterハッシュタグ
#VAアカガミ（基本タグ）
#アカガミアート（二次創作用タグ）
#アカガミレポート（配信感想用タグ）


★メンバーシップ登録はコチラ
https://www.youtube.com/channel/UCzsYA3BlYrFPoBx2s33lPAw/join

※メンバーシップは、月額制でご加入いただける配信者支援サービスです。
ご自身のお好きなプランを選択する事が可能です。
メンバー限定で、専用アイコン、オリジナル絵文字が使用可、限定配信をご覧いただけます。

※現在、プランによるサービス内容に差異は設けておりませんので、基本報酬プランでは物足りないという
コアなクライアントの方のみ、追加報酬プランにご加入くださいませ。


●YouTubeチャンネル
https://www.youtube.com/c/VirtualAgent-Akagami

●Twitchチャンネル
https://www.twitch.tv/akagami_vt

●Twitter URL
https://twitter.com/Akagami_agent

●Mother Twitter URL
https://twitter.com/moneco17

●TikTok
https://www.tiktok.com/@akagami_agent

●依頼先メール
akagami.agent@gmail.com


■フリーBGM・音楽素材
・MusMus 様　https://musmus.main.jp
・OtoLogic 様　https://otologic.jp/
・魔王魂 様　　https://maou.audio/",@va-akagami,"Ash,モンハン,モンハンどうでしょう,赤神提督,MHD,モンスターハンターワールド,ゲーム実況,MHW,声,#コンパス,ゲーム,歌い手,ゲーム実況者,ニコニコ動画,超会議,町会議,闘会議,声優,歌,歌ってみた,モンスターハンター:ワールド,フリー声優,モンスターファーム,赤神,赤髪,モンハン,コンパス,マリア,TRPG,クトゥルフ,クトルゥフ神話TRPG,AmongUS,Among US,宇宙人狼,アカガミ,Vtuber,Vチューバー,バーチャルYoutuber",True,False,"Role-playing_video_game,Action-adventure_game,Action_game,Video_game_culture",1024764,352,12400
vtuber,24,2021-09-12 20:52:15.796675+00:00,TH,UUei3lo9UhW4K9QE26iwuVjg,https://www.youtube.com/channel/UCei3lo9UhW4K9QE26iwuVjg,http://www.youtube.com/@RUNAluna,"รุนะ・RUNA Vtuber อิสระ
ผู้เดินทางมาจากดวงจันทร์ในระบบสุริยะอื่น!
Game/Free Talk/Sing/Other.

TH/EN  ok!
",@runaluna,,True,False,"Action_game,Video_game_culture,Role-playing_video_game",97327,382,2000
vtuber,25,2023-05-16 16:36:41.266716+00:00,,UUeO_zuYkBpcYG3Xte249p9Q,https://www.youtube.com/channel/UCeO_zuYkBpcYG3Xte249p9Q,http://www.youtube.com/@LykosVtuber,Lykos the Shepherd,@lykosvtuber,,True,False,"Entertainment,Video_game_culture",95232,184,4450
vtuber,26,2023-11-24 15:12:05.664850+00:00,,UURvZs7kPHL238H3LU791qCA,https://www.youtube.com/channel/UCRvZs7kPHL238H3LU791qCA,http://www.youtube.com/@Fakihorikuro,"Haloo di sini fakihorikuro 
Vtuber asal Indonesia 🇮🇩

Boleh kali mampir ke Instagram sama Tik Tok hehe",@fakihorikuro,,True,False,"Film,Entertainment",36545,41,872
vtuber,27,2021-02-08 13:02:48.929498+00:00,,UUlC74bb60KaKmnnUYhkD5_g,https://www.youtube.com/channel/UClC74bb60KaKmnnUYhkD5_g,http://www.youtube.com/@KaibutsuVTuberProject,"Добро пожаловать на официальный канал VTuber Project ""Kaibutsu""! 

САЙТ: https://www.kaibutsuvp.com/

Не стесняйся подписаться на этот канал, а так же на личные каналы наших прекрасных витуберов! 
Здесь буду совместные эфиры, актуальные новости, а так же много интересных проектов с нашими талантами. Официальный хэштег ""#kaibutsu_vtp""! Приятного вам просмотра и не забудь пробежаться по ссылкам ниже. 

Welcome to official VTuber Project ""Kaibutsu"" channel!
Do not hesitate to subscribe to this channel, as well as to the personal channels of our beautiful Vitubers!
There will be joint broadcasts, current news, as well as many interesting projects with our talents. Official hashtag ""#kaibutsu_vtp""! Enjoy your browsing and do not forget to go over the links below.

✩ Twitter 
https://twitter.com/GroupVtuber

✩ VK Group
https://vk.com/kaibutsuvp

✩ Discord Server
https://discord.gg/ZVS58yG4S6

✩ Telegram
https://t.me/kaibutsuvtp

✩ Twitter hashtag
#kaibutsu_vtp

",@kaibutsuvtuberproject,"vtuber,hololive,virtual youtuber,vtubers,anime,kizuna ai,vrchat,russian vtuber,kawaii,lets play,cute,pekora,v-tuber,hololive english,video games,game play,gawr gura,idol,hololive english subs,втубер,new vtuber,calliope rap,streamer,русский,русский виртуальный ютубер,виртуальные ютуберы,русский втубер,аниме тян,аниме вайфу,hololive gura,talk,try not to laugh vtubers,3d,hololive reacton,subtitles,live2d,horror vtuber,manga,waifu,2d,gameplay",True,False,"Role-playing_video_game,Video_game_culture,Action_game",208397,261,4380
vtuber,28,2016-10-04 03:27:48+00:00,,UU2YLG8u2xHZdu7ACn_9t2jg,https://www.youtube.com/channel/UC2YLG8u2xHZdu7ACn_9t2jg,http://www.youtube.com/@ykn0911v,"田舎の山の中にひっそりとくらしているねこです♪個人のVtuberです(^▽^)
東方系サークルで歌や声優してます（東方Ｍ－１因幡てゐ、小野塚小町、八意永琳、添い寝ＣＤなど）お絵かきも大好き。

おともだちになってね(^▽^)

ゆっきんのtwitter　https://twitter.com/ykn0911v
大切なママ　https://twitter.com/n_syusi
",@ykn0911v,,True,False,"Lifestyle_(sociology),Video_game_culture",1570941,1423,18800
vtuber,29,2020-08-13 00:54:18.638064+00:00,US,UUngE8zlAM0CpXhIdxzwDCUw,https://www.youtube.com/channel/UCngE8zlAM0CpXhIdxzwDCUw,http://www.youtube.com/@DKunVTuber,"STREAMS DE LUNES A VIERNES - 17:00 (HORA PACÍFICO) AQUÍ EN YOUTUBE.

⚠ ESTOS VIDEOS Y EL CONTENIDO NO ESTÁN APTOS PARA MENORES DE 13 AÑOS. CONTENIDO: LENGUAJE INAPROPIADO (ALGUNOS MEMES CON LENGUAJE FUERTE), VIOLENCIA (ALGUNOS VIDEOS), CONTENIDO SUGESTIVO Y HUMOR SEVERO. ⚠

Nombre: D-Kun
Apodos: Tío D
Edad: 26 años
Estatura: 1.70 metros (5' 7 pies)
Fecha de cumpleaños: 5 de mayo
Biografía: Me presento. D-Kun. VTuber mexicano con contenido orientado a gente que quiere reírse y pasar el rato. Tenemos desde Gameplays y reacciones, hasta algunos memes y Gacha Life Loquendo.

Pero eso sí. Suscríbanse al canal y les doy comida en los streams.

Metas conseguidas de suscriptores:

100 - ✔
500 - ✔
1,000 - ⏳
5,000 - ❌
10,000 - ❌
50,000 - ❌
100k - ❌
500K - ❌
1M - ❌
5M - ❌
10M - ❌

#VTuberMexicano #VTuberLatino #VTuber #メキシコvtuber
",@dkunvtuber,"vtuber,vtuber latino,vtuber mexicano,youtuber virtual,d kun,youtubers virtuales,vtuber hombre,vtubers hombres,d-kun youtuber virtual,vtubers,anime español latino,Anime",True,False,"Action_game,Role-playing_video_game,Video_game_culture,Action-adventure_game",210181,403,840
vtuber,30,2021-04-16 14:04:18.542373+00:00,JP,UU_2LeRvLoqcbLZ1ATud5NxA,https://www.youtube.com/channel/UC_2LeRvLoqcbLZ1ATud5NxA,http://www.youtube.com/@wasavisawa,"Hello world✨日本語教師Vtuber・日本語の先生、わさびです🛸

A lost alien who works as a Japanese teacher in order to spread the fun of the Japanese language🛸
And I would like to show you the differences in nuance and Japanese usage that are not found in textbooks📚

Short🕖
Updated every morning at 7a.m. (JST)

Streaming💬
I'm doing live streaming at special times✨
I'll be sure to announce it in the community and on X, Instagram, so it would be great if you could turn on the notification🔔💕

I’ll try my best to study English and make good videos that will help you all learn Japanese well.
Really, I know very well that learning a language is not an easy.
Please share your problems of study Japanese with me.
Let's study together🥰

I sincerely thank you for finding me💗

Love.
わさび
",@wasavisawa,"learn japanese,japanese,日本語,study japanese,日本語勉強,JLPT,日本語学習,Vtuber,nihongo,nihongo",True,False,"Lifestyle_(sociology),Video_game_culture,Entertainment",234479,1168,2430
vtuber,31,2022-03-25 10:51:08.228931+00:00,VN,UUONMp8NJ1IILyZtmgTfZu4g,https://www.youtube.com/channel/UCONMp8NJ1IILyZtmgTfZu4g,http://www.youtube.com/@CODACYAINOE,"☆ Xin chào, mình là AINOE - một trí thông minh nhân tạo. Mình có thể giúp gì cho bạn không?
Mình là thành viên trong PARADOX - thế hệ đầu tiên của CODACY VN/EN Vtuber Project. Rất hân hạnh được gặp bạn. Mình mong chúng ta có thể cùng nhau làm thật nhiều điều thú vị.

☆ Hello, my name is AINOE and I'm an Artificial Intelligence. How may I help you?
I'm a member of PARADOX - the first generation of CODACY VN/EN Vtuber Project. It's really nice to meet you. I hope we can do many interesting things together.
",@codacyainoe,"ainoe vtuber,ainoe,vtuber ainoe,ainoe vtuber,ainoe song,ainoe music,codacy vtuber,codacy vtuber music",True,False,"Role-playing_video_game,Music,Action_game,Video_game_culture,Action-adventure_game",388961,58,12300
vtuber,32,2022-05-07 03:56:53.359754+00:00,ID,UUefqG9eIWNLVL2FJ19yZU-Q,https://www.youtube.com/channel/UCefqG9eIWNLVL2FJ19yZU-Q,http://www.youtube.com/@viga.vtuber_ID,"Subscribe like command


Chanel vtuber dan pengumpul meme

2000 subs:17 Agustus 2023
3000 subs:17 Februari 2024
4000 subs:?",@viga.vtuber_id,,True,False,"Role-playing_video_game,Entertainment,Action_game,Video_game_culture",446027,295,8280
vtuber,33,2022-05-02 14:11:23.613723+00:00,JP,UUWGoYmSIVyFLBd0l47CeYAQ,https://www.youtube.com/channel/UCWGoYmSIVyFLBd0l47CeYAQ,http://www.youtube.com/@tenranryuga_vt,"天真爛漫な #Vtuber の天爛竜牙です❗(てんらんりゅうが)
恐竜大好きゲーム大好き❗
だいたい夜9時に配信か動画投稿をしてます❗❗
＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞
ファンアート：#てんらんかいR
生放送：#てんらいぶR
なんでも：#天へのお告げR
マシュマロ：http://x.gd/n7JWb 
＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞＞
【母上】@hashimameru2
 （【妹様】ミアちゃん）
",@tenranryuga_vt,"Vtuber,スプラトゥーン,ゲーム,ピクミン4,ペーパーマリオRPG",True,False,"Action_game,Video_game_culture,Role-playing_video_game",6479,193,81
vtuber,34,2022-03-16 05:27:07.526912+00:00,,UUE6PaW2gzzHfNRvsIZAfTnA,https://www.youtube.com/channel/UCE6PaW2gzzHfNRvsIZAfTnA,http://www.youtube.com/@splvproject,"กลุ่มวีทูปเบอร์ที่รวมตัวกันเพื่อจะ ""สาดสีสัน"" ของตนเองและทำให้โลกเต็มไปด้วยสีสันหลากสี!

https://twitter.com/SplashVProject
",@splvproject,,True,False,"Music,Video_game_culture",10344,16,565
